Acronym,Full Form
gl,good luck
hf,have fun
glhf,good luck have fun
glgl,good luck good luck
hfhf,have fun have fun
wp,well played
gg,good game
ggwp,good game well played
gj,good job
gh,good half
ghgh,good half good half
ns,nice shot
nt,nice try
noob,bad player
smurf,experienced player
smurfing,an experienced player
ez,you're bad at the game
izi,you're bad at the game
2,too
kys,kill yourself
bot,very bad player
elo,skill
u,you
ur,your
mm,matchmaking
tf,what the fuck
wtf,what the fuck
u,you
good shit,good job
ggs,good game
urself, yourself


